id,x_1,x_2,class
1,0.825,1.15,R
2,1.6,1.85,R
3,1.825,2.925,R
4,2.425,1.05,R
5,2.575,0.275,R
6,2.95,0.975,R
7,4.15,2.025,R
8,4.525,3.7,R
9,-4.525,3,B
10,-3.95,1.725,B
11,-3.9,3.95,B
12,-3.05,3.025,B
13,-2.225,1.7,B
14,-1.625,3.75,B
15,-1.6,2.625,B
16,-1.475,1.675,B
17,-1.325,0.925,B
18,-0.775,1.825,B
19,-4.35,-1.55,R
20,-4.1,-3.225,R
21,-3.475,-0.625,R
22,-2.675,-1.5,R
23,-2.35,-2.575,R
24,-2.375,-4.4,R
25,-2,-3.3,R
26,-1.175,-1.125,R
27,-1.175,-1.975,R
28,-0.925,-2.725,R
29,0.5,-1.525,B
30,1.05,-2.025,B
31,1.875,-4.2,B
32,2.15,-0.85,B
33,2.4,-2.425,B
34,2.55,-0.225,B
35,2.975,-0.8,B
36,3.4,-3.55,B
37,3.525,-2.275,B
