id,x_1,x_2,class
1,1.65,2.3,R
2,3.2,3.7,R
3,3.65,5.85,R
4,4.85,2.1,R
5,5.15,0.55,R
6,5.9,1.95,R
7,8.3,4.05,R
8,9.05,7.4,R
9,-9.05,6,B
10,-7.9,3.45,B
11,-7.8,7.9,B
12,-6.1,6.05,B
13,-4.45,3.4,B
14,-3.25,7.5,B
15,-3.2,5.25,B
16,-2.95,3.35,B
17,-2.65,1.85,B
18,-1.55,3.65,B
19,-8.7,-3.1,R
20,-8.2,-6.45,R
21,-6.95,-1.25,R
22,-5.35,-3,R
23,-4.7,-5.15,R
24,-4.75,-8.8,R
25,-4,-6.6,R
26,-2.35,-2.25,R
27,-2.35,-3.95,R
28,-1.85,-5.45,R
29,1,-3.05,B
30,2.1,-4.05,B
31,3.75,-8.4,B
32,4.3,-1.7,B
33,4.8,-4.85,B
34,5.1,-0.45,B
35,5.95,-1.6,B
36,6.8,-7.1,B
37,7.05,-4.55,B
